col_a,col_b,metric,score
age,medical_specialty,ContingencySimilarity,0.8334
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.8354
insulin,had_inpatient_days,ContingencySimilarity,0.8374
medical_specialty,medicaid,ContingencySimilarity,0.839
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.8395999999999999
medicaid,had_inpatient_days,ContingencySimilarity,0.8396
change,had_inpatient_days,ContingencySimilarity,0.8396
age,had_inpatient_days,ContingencySimilarity,0.8396
had_inpatient_days,readmit_binary,ContingencySimilarity,0.8396
had_emergency,had_inpatient_days,ContingencySimilarity,0.8396
medical_specialty,had_outpatient_days,ContingencySimilarity,0.8403999999999999
medical_specialty,readmit_binary,ContingencySimilarity,0.8416
race,diabetesMed,ContingencySimilarity,0.8416
medical_specialty,had_emergency,ContingencySimilarity,0.8428
medical_specialty,change,ContingencySimilarity,0.843
race,insulin,ContingencySimilarity,0.8442000000000001
race,A1Cresult,ContingencySimilarity,0.8478
change,diabetesMed,ContingencySimilarity,0.8486
num_procedures,insulin,ContingencySimilarity,0.8502000000000001
primary_diagnosis,insulin,ContingencySimilarity,0.8503999999999999
primary_diagnosis,A1Cresult,ContingencySimilarity,0.857
num_procedures,max_glu_serum,ContingencySimilarity,0.86
num_procedures,A1Cresult,ContingencySimilarity,0.8606
primary_diagnosis,max_glu_serum,ContingencySimilarity,0.8628
num_procedures,had_emergency,ContingencySimilarity,0.8652
age,primary_diagnosis,ContingencySimilarity,0.8660000000000001
primary_diagnosis,medicaid,ContingencySimilarity,0.8666
insulin,change,ContingencySimilarity,0.867
age,num_procedures,ContingencySimilarity,0.8688
primary_diagnosis,readmit_binary,ContingencySimilarity,0.869
primary_diagnosis,had_emergency,ContingencySimilarity,0.8694
primary_diagnosis,had_outpatient_days,ContingencySimilarity,0.8695999999999999
num_procedures,change,ContingencySimilarity,0.87
num_procedures,medicaid,ContingencySimilarity,0.8704000000000001
primary_diagnosis,change,ContingencySimilarity,0.8708
num_procedures,readmit_binary,ContingencySimilarity,0.871
race,max_glu_serum,ContingencySimilarity,0.8748
num_procedures,had_outpatient_days,ContingencySimilarity,0.8762
max_glu_serum,insulin,ContingencySimilarity,0.8766
insulin,diabetesMed,ContingencySimilarity,0.8766
race,readmit_binary,ContingencySimilarity,0.878
race,medicaid,ContingencySimilarity,0.8782
race,age,ContingencySimilarity,0.8782
race,had_outpatient_days,ContingencySimilarity,0.8786
race,change,ContingencySimilarity,0.8786
race,had_emergency,ContingencySimilarity,0.8786
max_glu_serum,had_emergency,ContingencySimilarity,0.879
A1Cresult,insulin,ContingencySimilarity,0.8814
A1Cresult,diabetesMed,ContingencySimilarity,0.8838
insulin,had_emergency,ContingencySimilarity,0.8898
age,insulin,ContingencySimilarity,0.8904
insulin,medicaid,ContingencySimilarity,0.8957999999999999
insulin,readmit_binary,ContingencySimilarity,0.9034
insulin,had_outpatient_days,ContingencySimilarity,0.9036
max_glu_serum,readmit_binary,ContingencySimilarity,0.9096000000000001
medicaid,had_emergency,ContingencySimilarity,0.9114
max_glu_serum,medicaid,ContingencySimilarity,0.9121999999999999
age,max_glu_serum,ContingencySimilarity,0.9124
had_emergency,readmit_binary,ContingencySimilarity,0.9134
max_glu_serum,diabetesMed,ContingencySimilarity,0.923
age,change,ContingencySimilarity,0.9232
age,diabetesMed,ContingencySimilarity,0.9238
diabetesMed,had_emergency,ContingencySimilarity,0.9238
age,had_emergency,ContingencySimilarity,0.924
diabetesMed,medicaid,ContingencySimilarity,0.924
diabetesMed,had_outpatient_days,ContingencySimilarity,0.9252
diabetesMed,readmit_binary,ContingencySimilarity,0.9252
age,A1Cresult,ContingencySimilarity,0.9304
max_glu_serum,change,ContingencySimilarity,0.9318
max_glu_serum,had_outpatient_days,ContingencySimilarity,0.9334
change,medicaid,ContingencySimilarity,0.9338
A1Cresult,had_emergency,ContingencySimilarity,0.935
max_glu_serum,A1Cresult,ContingencySimilarity,0.9354
medicaid,readmit_binary,ContingencySimilarity,0.9362
had_emergency,had_outpatient_days,ContingencySimilarity,0.9362
change,had_emergency,ContingencySimilarity,0.9369999999999999
A1Cresult,change,ContingencySimilarity,0.9378
age,readmit_binary,ContingencySimilarity,0.9410000000000001
A1Cresult,medicaid,ContingencySimilarity,0.9413999999999999
A1Cresult,readmit_binary,ContingencySimilarity,0.9414
age,medicaid,ContingencySimilarity,0.9414
A1Cresult,had_outpatient_days,ContingencySimilarity,0.9414
change,readmit_binary,ContingencySimilarity,0.9423999999999999
change,had_outpatient_days,ContingencySimilarity,0.9546
had_outpatient_days,readmit_binary,ContingencySimilarity,0.9626
medicaid,had_outpatient_days,ContingencySimilarity,0.9682000000000001
age,had_outpatient_days,ContingencySimilarity,0.9708
