col_a,col_b,metric,score
race,diabetesMed,ContingencySimilarity,0.9498
num_procedures,had_emergency,ContingencySimilarity,0.9502
race,had_emergency,ContingencySimilarity,0.9508
num_procedures,medicare,ContingencySimilarity,0.9514
diabetesMed,had_outpatient_days,ContingencySimilarity,0.9521999999999999
medical_specialty,change,ContingencySimilarity,0.953
medical_specialty,medicaid,ContingencySimilarity,0.9538
num_procedures,diabetesMed,ContingencySimilarity,0.9541999999999999
medicaid,had_outpatient_days,ContingencySimilarity,0.9548
medicare,had_outpatient_days,ContingencySimilarity,0.9548
had_inpatient_days,had_outpatient_days,ContingencySimilarity,0.9548
had_emergency,had_outpatient_days,ContingencySimilarity,0.9548
change,had_outpatient_days,ContingencySimilarity,0.9548
num_procedures,change,ContingencySimilarity,0.9556
medical_specialty,had_inpatient_days,ContingencySimilarity,0.9558
race,medicaid,ContingencySimilarity,0.9564
race,had_inpatient_days,ContingencySimilarity,0.9568
race,change,ContingencySimilarity,0.9568
race,medicare,ContingencySimilarity,0.9568
num_procedures,medicaid,ContingencySimilarity,0.957
medical_specialty,medicare,ContingencySimilarity,0.957
A1Cresult,diabetesMed,ContingencySimilarity,0.959
age,medicare,ContingencySimilarity,0.9601999999999999
max_glu_serum,A1Cresult,ContingencySimilarity,0.9604
A1Cresult,change,ContingencySimilarity,0.9606
age,A1Cresult,ContingencySimilarity,0.9618
age,max_glu_serum,ContingencySimilarity,0.9624
A1Cresult,medicare,ContingencySimilarity,0.9650000000000001
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9654
A1Cresult,medicaid,ContingencySimilarity,0.9694
A1Cresult,had_emergency,ContingencySimilarity,0.9698
age,medicaid,ContingencySimilarity,0.9716
medicare,had_inpatient_days,ContingencySimilarity,0.9716
age,had_inpatient_days,ContingencySimilarity,0.9722
age,had_emergency,ContingencySimilarity,0.9726
age,diabetesMed,ContingencySimilarity,0.9748
age,change,ContingencySimilarity,0.9748
change,medicare,ContingencySimilarity,0.9796
max_glu_serum,medicare,ContingencySimilarity,0.9802
had_emergency,had_inpatient_days,ContingencySimilarity,0.9804
max_glu_serum,had_emergency,ContingencySimilarity,0.981
max_glu_serum,diabetesMed,ContingencySimilarity,0.9818
medicare,had_emergency,ContingencySimilarity,0.982
diabetesMed,medicare,ContingencySimilarity,0.982
medicare,medicaid,ContingencySimilarity,0.982
max_glu_serum,medicaid,ContingencySimilarity,0.9836
max_glu_serum,change,ContingencySimilarity,0.9846
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.9854
medicaid,had_emergency,ContingencySimilarity,0.9854
diabetesMed,had_emergency,ContingencySimilarity,0.9866
change,medicaid,ContingencySimilarity,0.988
diabetesMed,had_inpatient_days,ContingencySimilarity,0.991
diabetesMed,medicaid,ContingencySimilarity,0.991
change,diabetesMed,ContingencySimilarity,0.991
change,had_emergency,ContingencySimilarity,0.992
change,had_inpatient_days,ContingencySimilarity,0.997
medicaid,had_inpatient_days,ContingencySimilarity,0.9976
